Planner Name;Problem Name;Total Time
SATPlanner;pb2;0.032
SATPlanner;pb3;0.047
SATPlanner;pb5;0.157
SATPlanner;pb6;0.344
SATPlanner;pb7;1.909
SATPlanner;pb8;7.026
SATPlanner;pb9;80.378
GraphPlan;pb2;0.0030913
GraphPlan;pb3;0.0051754
GraphPlan;pb4;0.0106865
GraphPlan;pb5;0.0125896
GraphPlan;pb6;0.0229755
GraphPlan;pb7;0.0321621
GraphPlan;pb8;0.0445584
GraphPlan;pb9;0.0719658
GraphPlan;pb10;0.099154
GraphPlan;pb11;0.2733442
GraphPlan;pb12;0.9807001
GraphPlan;pb13;5.202439
GraphPlan;pb14;34.337753
GraphPlan;pb15;249.92769

GraphPlan;pb2;0.0025121
GraphPlan;pb9;0.0739723
SATPlanner;pb9;76.891
SATPlanner;pb9;80.83
GraphPlan;pb14;29.157179
SATPlanner;pb9;80.575
SATPlanner;pb9;79.64
SATPlanner;pb9;82.531
GraphPlan;pb9;0.05146
GraphPlan;pb9;0.0956513
GraphPlan;pb13;4.617939
GraphPlan;pb13;4.645723
GraphPlan;pb13;4.3969803
GraphPlan;pb13;4.597912
GraphPlan;pb13;4.8653183
GraphPlan;pb14;29.050825
GraphPlan;pb14;29.930504
SATPlanner;pb9;82.109
